                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.62255,                0.88883,                 0.8435,                 1.0379,                0.53733,                0.56069,                0.56262,                0.43044,                0.45021,                0.39292,                 0.3775,                0.24449,                 1.4531,                 3.2091,                 1.9273,                 1.4915,              0.0078493,              0.0078493,              0.0078493
                     65,                 0.6049,                0.88589,                 0.8171,                 1.0353,                0.72722,                0.50538,                0.58549,                0.43971,                0.47987,                0.36298,                0.37097,                0.25563,                 1.3297,                 3.3413,                 1.9634,                 1.4123,              0.0078152,              0.0078152,              0.0078152
                     66,                0.60982,                0.87853,                0.82165,                 1.0265,                0.68819,                0.49899,                0.58303,                0.44133,                0.53466,                0.35151,                0.38288,                0.25701,                 1.3346,                 3.0133,                 1.9408,                 1.4205,               0.007781,               0.007781,               0.007781
                     67,                0.60315,                0.91117,                0.79346,                  1.014,                0.71169,                0.50529,                 0.5966,                0.43844,                0.51757,                0.35621,                0.38503,                0.25352,                 1.3506,                 3.1365,                 1.8446,                 1.4295,              0.0077469,              0.0077469,              0.0077469
                     68,                0.63601,                0.94975,                0.85889,                 1.0417,                0.70854,                0.55928,                0.63371,                0.45779,                0.55225,                 0.3686,                0.40726,                 0.2652,                  1.378,                 3.0408,                 1.8176,                 1.4603,              0.0077128,              0.0077128,              0.0077128
                     69,                0.57355,                0.86991,                0.78937,                0.99652,                 0.7351,                0.49603,                0.61752,                0.47056,                0.53791,                0.36562,                 0.4006,                0.27254,                 1.4141,                 3.2358,                 1.8746,                  1.515,              0.0076786,              0.0076786,              0.0076786
                     70,                0.57062,                0.80309,                0.74886,                 1.0099,                 0.6896,                0.49576,                0.60716,                0.46009,                0.82243,                0.30875,                0.39671,                0.27027,                 1.4344,                  3.191,                 1.9504,                 1.5335,              0.0076445,              0.0076445,              0.0076445
                     71,                0.57174,                0.87002,                0.74588,                 1.0291,                0.73051,                0.50462,                0.57987,                0.44419,                0.56681,                0.33968,                0.37816,                0.25144,                 1.4079,                 3.1196,                 1.9846,                 1.5168,              0.0076103,              0.0076103,              0.0076103
                     72,                 0.5642,                 0.8458,                0.75634,                0.98377,                0.78617,                0.49991,                 0.5925,                 0.4306,                0.60532,                0.34598,                0.38614,                0.25139,                 1.3714,                 3.0411,                 1.9816,                 1.4759,              0.0075762,              0.0075762,              0.0075762
                     73,                0.58165,                0.85248,                0.77018,                 1.0075,                0.84548,                0.46859,                0.60622,                0.45254,                0.57407,                0.33804,                0.40748,                0.26563,                 1.3166,                 3.0797,                 1.9928,                 1.4511,              0.0075421,              0.0075421,              0.0075421
                     74,                 0.5703,                0.85317,                0.75015,                0.99779,                0.79931,                0.50977,                0.62003,                0.45779,                0.60977,                 0.3515,                0.41954,                0.27592,                 1.3267,                 3.0065,                 1.9585,                 1.4362,              0.0075079,              0.0075079,              0.0075079
                     75,                0.56584,                0.82801,                0.73793,                0.98697,                  0.682,                 0.5518,                0.62248,                0.44378,                0.57328,                0.38535,                0.41927,                0.27478,                 1.3584,                 2.9711,                 1.9659,                 1.4735,              0.0074738,              0.0074738,              0.0074738
                     76,                0.57376,                0.83605,                0.74246,                0.97316,                0.78367,                0.53733,                0.64272,                0.47015,                0.63926,                0.35833,                0.43632,                0.29269,                 1.3711,                 2.9946,                 1.8998,                 1.4486,              0.0074397,              0.0074397,              0.0074397
                     77,                0.61301,                0.88293,                 0.7573,                 1.0102,                0.78444,                0.54257,                0.64628,                0.46713,                0.51802,                0.39363,                0.44757,                0.29408,                 1.2826,                 2.8568,                 1.8463,                 1.3891,              0.0074055,              0.0074055,              0.0074055
                     78,                 0.5388,                0.78457,                0.71763,                0.98902,                0.72348,                0.53428,                0.62958,                0.46662,                0.59939,                0.35586,                0.43993,                0.28417,                 1.2651,                 2.9294,                  1.856,                  1.378,              0.0073714,              0.0073714,              0.0073714
                     79,                 0.5439,                0.75526,                0.69554,                0.98183,                0.70244,                 0.5388,                 0.6459,                0.47876,                0.59833,                0.38739,                0.47091,                 0.3077,                  1.285,                 2.8398,                 1.7837,                 1.3641,              0.0073372,              0.0073372,              0.0073372
